no,name,kor,eng,math,total,avg,rank,c_date
67,McInility,90,67,94,251,83,0,2024-04-02
68,Stennett,61,100,86,247,82,0,2024-04-08
69,Bau,96,86,97,279,93,0,2024-04-03
70,Mathivet,51,82,77,210,70,0,2024-04-04
71,Tandy,76,91,82,249,83,0,2024-04-05
72,Muddimer,97,55,89,241,80,0,2024-04-02
73,Appleby,77,63,69,209,69,0,2024-04-02
74,Bonnette,65,66,69,200,66,0,2024-04-03
75,Pilpovic,71,80,70,221,73,0,2024-04-06
76,Barnwille,77,68,80,225,75,0,2024-04-05
77,Curedell,65,99,80,244,81,0,2024-04-01
78,Brownlea,61,95,84,240,80,0,2024-04-06
79,Ferber,63,83,89,235,78,0,2024-04-07
80,Toleman,67,65,98,230,76,0,2024-04-09
81,Baraja,72,57,53,182,60,0,2024-04-03
82,Janzen,57,54,83,194,64,0,2024-04-04
83,Skellorne,70,68,56,194,64,0,2024-04-02
84,Hinkins,95,94,98,287,95,0,2024-04-02
85,Plowell,54,74,68,196,65,0,2024-04-03
86,Daoust,98,55,97,250,83,0,2024-04-07
87,Hext,60,95,92,247,82,0,2024-04-06
88,Vaneev,63,82,76,221,73,0,2024-04-05
89,Checcuzzi,94,78,58,230,76,0,2024-04-08
90,Radsdale,56,52,78,186,62,0,2024-04-01
91,Blaise,72,83,71,226,75,0,2024-04-07
92,Dobbison,82,72,65,219,73,0,2024-04-05
93,Josskovitz,63,75,98,236,78,0,2024-04-07
94,Effnert,100,66,55,221,73,0,2024-04-02
95,Fazan,70,62,93,225,75,0,2024-04-05
96,Godin,52,57,68,177,59,0,2024-04-02
97,Goodlip,76,92,55,223,74,0,2024-04-04
98,Wiggam,98,66,54,218,72,0,2024-04-07
99,Brantzen,89,50,88,227,75,0,2024-04-04
100,McMinn,90,69,53,212,70,0,2024-04-04
101,Jepensen,89,84,52,225,75,0,2024-04-04
102,Ramble,90,92,56,238,79,0,2024-04-09
103,Loughhead,53,72,92,217,72,0,2024-04-05
104,Ferrarin,69,72,54,195,65,0,2024-04-03
105,Cortese,67,78,51,196,65,0,2024-04-05
106,Offield,81,60,67,208,69,0,2024-04-05
107,Franiak,75,56,70,201,67,0,2024-04-09
108,Bluschke,99,60,75,234,78,0,2024-04-06
109,Beernaert,66,55,96,217,72,0,2024-04-06
110,Renvoys,88,80,91,259,86,0,2024-04-02
111,McGaffey,80,52,99,231,77,0,2024-04-02
112,Conan,54,62,72,188,62,0,2024-04-08
113,Renols,94,63,98,255,85,0,2024-04-06
114,Meacher,92,55,70,217,72,0,2024-04-01
115,Duggon,65,64,66,195,65,0,2024-04-03
116,Simoni,88,51,97,236,78,0,2024-04-07
117,Notti,76,62,69,207,69,0,2024-04-07
118,Furzey,70,72,91,233,77,0,2024-04-07
119,Hartwell,66,65,72,203,67,0,2024-04-09
120,Puttrell,84,81,92,257,85,0,2024-04-04
121,Counter,74,61,80,215,71,0,2024-04-07
122,Sudworth,94,51,91,236,78,0,2024-04-03
123,Tinsley,55,88,60,203,67,0,2024-04-07
124,Huffa,76,87,54,217,72,0,2024-04-04
125,Whittek,73,60,63,196,65,0,2024-04-09
126,Tapley,70,59,87,216,72,0,2024-04-04
127,Prettyjohns,58,88,81,227,75,0,2024-04-05
128,Beuscher,67,93,73,233,77,0,2024-04-02
129,Ellicock,76,84,92,252,84,0,2024-04-03
130,Bilbie,90,86,51,227,75,0,2024-04-01
131,Crabtree,78,76,84,238,79,0,2024-04-02
132,Pilbury,86,52,65,203,67,0,2024-04-03
133,Loynes,83,84,93,260,86,0,2024-04-01
134,Stolberger,98,60,100,258,86,0,2024-04-09
135,Frame,54,92,60,206,68,0,2024-04-08
136,Kyllford,78,79,69,226,75,0,2024-04-09
137,McTrustie,69,63,60,192,64,0,2024-04-08
138,Holyland,97,62,98,257,85,0,2024-04-06
139,Birrane,78,81,73,232,77,0,2024-04-04
140,Gershom,65,67,74,206,68,0,2024-04-06
141,Jorry,60,66,98,224,74,0,2024-04-01
142,Boothe,67,86,83,236,78,0,2024-04-05
143,Leverson,83,72,67,222,74,0,2024-04-04
144,Blaksland,50,59,77,186,62,0,2024-04-02
145,Segar,98,56,65,219,73,0,2024-04-07
146,Sloat,62,95,57,214,71,0,2024-04-08
147,Wilprecht,95,62,91,248,82,0,2024-04-06
148,Prinnett,69,82,64,215,71,0,2024-04-06
149,Denver,82,84,73,239,79,0,2024-04-01
150,Ayrs,92,81,95,268,89,0,2024-04-07
151,Jerome,63,88,92,243,81,0,2024-04-03
152,Cattrall,74,54,93,221,73,0,2024-04-01
153,Fonso,84,85,53,222,74,0,2024-04-08
154,Canny,50,71,79,200,66,0,2024-04-08
155,Langrish,78,75,81,234,78,0,2024-04-03
156,Ransom,79,87,63,229,76,0,2024-04-06
157,Philippeaux,99,74,86,259,86,0,2024-04-09
158,Diment,55,50,93,198,66,0,2024-04-05
159,Sommerlie,70,96,60,226,75,0,2024-04-08
160,Thebeau,90,92,86,268,89,0,2024-04-02
161,Mustoe,79,93,87,259,86,0,2024-04-08
162,Dyde,52,51,97,200,66,0,2024-04-06
163,Burbridge,63,88,97,248,82,0,2024-04-04
164,Smissen,95,54,61,210,70,0,2024-04-05
165,Blaskett,57,96,65,218,72,0,2024-04-05
166,Janku,73,91,78,242,80,0,2024-04-04
167,Lodo,51,82,83,216,72,0,2024-04-06
168,Warbys,72,50,74,196,65,0,2024-04-08
169,Vanderplas,75,82,64,221,73,0,2024-04-03
170,Eydel,80,58,61,199,66,0,2024-04-02
171,Jennings,76,50,56,182,60,0,2024-04-05
172,Figgins,66,52,72,190,63,0,2024-04-09
173,Paradise,55,81,77,213,71,0,2024-04-07
174,Bleyman,66,90,94,250,83,0,2024-04-04
175,Mc Andrew,68,56,92,216,72,0,2024-04-06
176,Sickling,84,52,65,201,67,0,2024-04-07
177,Conley,88,65,50,203,67,0,2024-04-08
178,Cawkill,76,95,53,224,74,0,2024-04-03
179,Howgate,73,93,95,261,87,0,2024-04-06
180,Breyt,84,89,56,229,76,0,2024-04-05
181,Penning,92,87,63,242,80,0,2024-04-01
182,Storks,99,50,57,206,68,0,2024-04-04
183,Cortez,62,62,58,182,60,0,2024-04-08
184,Cleife,74,51,86,211,70,0,2024-04-04
185,Ivakin,84,86,73,243,81,0,2024-04-07
186,Slowgrove,98,89,96,283,94,0,2024-04-05
187,Mazzia,73,51,59,183,61,0,2024-04-08
188,Izat,61,86,82,229,76,0,2024-04-05
189,Minchin,94,57,66,217,72,0,2024-04-03
190,Costa,68,71,57,196,65,0,2024-04-08
191,Victor,87,83,89,259,86,0,2024-04-06
192,Walsh,52,80,93,225,75,0,2024-04-01
193,Newey,94,52,64,210,70,0,2024-04-08
194,Tewkesberry,56,61,53,170,56,0,2024-04-07
195,Messam,66,71,55,192,64,0,2024-04-02
196,Bettleson,89,85,97,271,90,0,2024-04-04
197,Lowdiane,96,96,74,266,88,0,2024-04-03
198,Daens,50,94,99,243,81,0,2024-04-08
199,MacGorley,80,90,60,230,76,0,2024-04-04
200,O'Dreain,55,62,85,202,67,0,2024-04-02
201,Haydock,65,85,83,233,77,0,2024-04-03
202,Yanin,93,66,53,212,70,0,2024-04-06
203,Meekins,57,67,89,213,71,0,2024-04-07
204,Morriarty,66,81,86,233,77,0,2024-04-09
205,Gotthard,72,71,95,238,79,0,2024-04-07
206,Thowless,63,56,50,169,56,0,2024-04-05
207,Stook,64,61,88,213,71,0,2024-04-08
208,Beardsdale,51,97,99,247,82,0,2024-04-07
209,Rubenfeld,92,70,74,236,78,0,2024-04-07
210,Abthorpe,82,60,85,227,75,0,2024-04-08
211,Lillyman,81,88,73,242,80,0,2024-04-07
212,Emnoney,64,91,73,228,76,0,2024-04-07
213,Otteridge,83,72,91,246,82,0,2024-04-03
214,Dunk,54,79,76,209,69,0,2024-04-02
215,Risbrough,59,54,55,168,56,0,2024-04-05
216,Korbmaker,52,65,83,200,66,0,2024-04-09
217,Bruggeman,64,63,86,213,71,0,2024-04-05
218,Carne,99,61,75,235,78,0,2024-04-02
219,Tamlett,81,52,67,200,66,0,2024-04-02
220,Szimon,53,62,77,192,64,0,2024-04-07
221,Scohier,73,57,57,187,62,0,2024-04-05
222,Benns,94,98,64,256,85,0,2024-04-08
223,McGlew,81,55,76,212,70,0,2024-04-09
224,Brazenor,71,97,70,238,79,0,2024-04-06
225,Buterton,56,83,82,221,73,0,2024-04-02
226,Fysh,77,93,63,233,77,0,2024-04-07
227,Dampney,96,59,95,250,83,0,2024-04-05
228,Dombrell,69,80,61,210,70,0,2024-04-07
229,Todaro,79,78,91,248,82,0,2024-04-01
230,McIlwrick,65,71,87,223,74,0,2024-04-06
231,Weatherhogg,87,58,74,219,73,0,2024-04-08
232,Radbone,65,58,71,194,64,0,2024-04-02
233,Copnall,50,93,75,218,72,0,2024-04-01
234,Sandyford,76,64,94,234,78,0,2024-04-09
235,Pond-Jones,98,70,78,246,82,0,2024-04-08
236,Kabisch,62,58,56,176,58,0,2024-04-02
237,Ackwood,93,68,96,257,85,0,2024-04-01
238,Breitler,69,99,93,261,87,0,2024-04-06
239,Goundry,90,83,94,267,89,0,2024-04-09
240,Amott,57,50,96,203,67,0,2024-04-05
241,Turone,78,56,55,189,63,0,2024-04-05
242,Shane,89,90,84,263,87,0,2024-04-05
243,Brookes,74,59,76,209,69,0,2024-04-02
244,Reck,59,60,88,207,69,0,2024-04-05
245,Menlove,77,68,95,240,80,0,2024-04-03
246,Shirlaw,76,67,62,205,68,0,2024-04-02
247,Hinken,99,86,65,250,83,0,2024-04-05
248,Grioli,85,55,78,218,72,0,2024-04-08
249,Yglesia,86,65,74,225,75,0,2024-04-06
250,Sandhill,54,54,93,201,67,0,2024-04-01
251,Surmeyers,99,99,95,293,97,0,2024-04-08
252,Buckthorpe,73,68,88,229,76,0,2024-04-04
253,Alcide,91,88,64,243,81,0,2024-04-06
254,Alabaster,82,93,60,235,78,0,2024-04-02
255,Flaherty,74,53,96,223,74,0,2024-04-08
256,Jedrzejewicz,65,64,82,211,70,0,2024-04-09
257,Igglesden,78,71,88,237,79,0,2024-04-04
258,Duchant,84,69,89,242,80,0,2024-04-06
259,Back,70,91,78,239,79,0,2024-04-09
260,Treamayne,90,60,84,234,78,0,2024-04-08
261,Poundsford,61,55,69,185,61,0,2024-04-08
262,Kimbell,54,94,87,235,78,0,2024-04-03
263,Yankishin,73,100,74,247,82,0,2024-04-07
264,Basnett,82,91,61,234,78,0,2024-04-03
265,Meeking,86,94,56,236,78,0,2024-04-02
266,Klaussen,66,57,78,201,67,0,2024-04-01
267,Scriver,89,81,68,238,79,0,2024-04-04
268,McCall,75,72,68,215,71,0,2024-04-01
269,Greenroad,75,99,88,262,87,0,2024-04-09
270,Moens,96,78,62,236,78,0,2024-04-04
271,Palphramand,97,51,80,228,76,0,2024-04-09
272,Zarfai,100,58,90,248,82,0,2024-04-05
273,Scutchings,87,98,50,235,78,0,2024-04-05
274,Sand,52,86,87,225,75,0,2024-04-09
275,Sherwin,86,58,69,213,71,0,2024-04-08
276,Grannell,87,71,68,226,75,0,2024-04-09
277,Crosswaite,69,83,82,234,78,0,2024-04-05
278,Elegood,60,69,62,191,63,0,2024-04-01
279,Booley,81,82,76,239,79,0,2024-04-09
280,Dameisele,99,90,88,277,92,0,2024-04-02
281,Spiby,77,71,85,233,77,0,2024-04-03
282,Bridges,50,79,84,213,71,0,2024-04-02
283,Heningam,61,57,79,197,65,0,2024-04-06
284,Kief,57,100,97,254,84,0,2024-04-04
285,Itzkovich,62,64,84,210,70,0,2024-04-05
286,Frigout,57,89,50,196,65,0,2024-04-07
287,Fawdry,70,91,51,212,70,0,2024-04-04
288,Stickells,90,64,51,205,68,0,2024-04-07
289,Farthing,58,58,64,180,60,0,2024-04-02
290,Dakin,84,75,92,251,83,0,2024-04-06
291,Cripwell,61,99,73,233,77,0,2024-04-04
292,Marthen,71,50,77,198,66,0,2024-04-07
293,Rymmer,61,83,60,204,68,0,2024-04-05
294,Fleg,81,81,77,239,79,0,2024-04-01
295,Dwelley,78,62,97,237,79,0,2024-04-03
296,Margaret,95,89,97,281,93,0,2024-04-01
297,Maddock,93,79,64,236,78,0,2024-04-06
298,Rogers,98,89,98,285,95,0,2024-04-07
299,Fright,95,79,54,228,76,0,2024-04-09
300,McKeighen,89,61,80,230,76,0,2024-04-06
301,Calles,85,86,81,252,84,0,2024-04-09
302,Valentim,75,67,50,192,64,0,2024-04-08
303,Kilmaster,86,61,60,207,69,0,2024-04-02
304,Le Port,76,61,51,188,62,0,2024-04-08
305,Louca,76,73,90,239,79,0,2024-04-02
306,Devanney,88,84,79,251,83,0,2024-04-09
307,Meier,61,69,72,202,67,0,2024-04-04
308,Middler,79,80,60,219,73,0,2024-04-03
309,Neild,89,91,72,252,84,0,2024-04-06
310,Sheward,96,66,63,225,75,0,2024-04-07
311,Ealles,66,89,58,213,71,0,2024-04-05
312,Oldfield,70,65,75,210,70,0,2024-04-07
313,Shee,78,86,86,250,83,0,2024-04-07
314,Bugg,55,89,99,243,81,0,2024-04-06
315,Eschalette,57,51,98,206,68,0,2024-04-06
316,Cloutt,96,71,82,249,83,0,2024-04-06
317,Forri,66,67,66,199,66,0,2024-04-03
318,Rockhall,73,81,100,254,84,0,2024-04-09
319,Murton,53,80,61,194,64,0,2024-04-09
320,Maker,93,71,81,245,81,0,2024-04-04
321,Cree,78,59,91,228,76,0,2024-04-03
322,Vickarman,92,50,98,240,80,0,2024-04-04
323,Silber,57,83,71,211,70,0,2024-04-09
324,Dumphry,60,78,55,193,64,0,2024-04-09
325,Astman,79,60,87,226,75,0,2024-04-06
326,Blackly,100,64,80,244,81,0,2024-04-06
327,Messer,77,86,53,216,72,0,2024-04-04
328,Roofe,70,73,99,242,80,0,2024-04-07
329,Puleston,63,64,61,188,62,0,2024-04-01
330,Hincks,93,61,53,207,69,0,2024-04-09
331,Houtby,83,78,78,239,79,0,2024-04-03
332,Haglington,72,85,89,246,82,0,2024-04-07
333,Picheford,59,80,89,228,76,0,2024-04-07
334,Falco,100,52,52,204,68,0,2024-04-07
335,Chart,61,69,83,213,71,0,2024-04-08
336,Bollands,60,92,52,204,68,0,2024-04-06
337,Bussen,78,60,58,196,65,0,2024-04-03
338,Fassman,56,100,65,221,73,0,2024-04-07
339,Mochar,88,85,71,244,81,0,2024-04-04
340,Zoane,84,86,51,221,73,0,2024-04-02
341,Grog,82,75,67,224,74,0,2024-04-09
342,Twine,85,84,76,245,81,0,2024-04-02
343,O'Carroll,72,74,67,213,71,0,2024-04-05
344,Conduit,91,77,60,228,76,0,2024-04-02
345,Dekeyser,91,90,55,236,78,0,2024-04-04
346,Duffell,75,78,93,246,82,0,2024-04-02
347,Lannin,82,95,61,238,79,0,2024-04-09
348,Matuszynski,83,56,85,224,74,0,2024-04-06
349,Ubsdale,55,83,62,200,66,0,2024-04-03
350,McQuaid,75,75,73,223,74,0,2024-04-01
351,Houlahan,50,86,96,232,77,0,2024-04-02
352,MacCrossan,58,60,52,170,56,0,2024-04-07
353,Bartels-Ellis,52,95,51,198,66,0,2024-04-02
354,Allerton,88,93,80,261,87,0,2024-04-02
355,Denziloe,51,94,98,243,81,0,2024-04-09
356,Fogg,81,65,59,205,68,0,2024-04-08
357,Nortunen,61,58,86,205,68,0,2024-04-04
358,Yansons,91,87,64,242,80,0,2024-04-01
359,Sevier,53,53,70,176,58,0,2024-04-05
360,Greasty,100,91,74,265,88,0,2024-04-01
361,Ouldcott,51,95,50,196,65,0,2024-04-02
362,Toffler,93,83,90,266,88,0,2024-04-06
363,Fulstow,66,81,92,239,79,0,2024-04-01
364,Rosebotham,61,81,52,194,64,0,2024-04-07
365,Trayte,74,70,75,219,73,0,2024-04-07
366,Belsey,78,73,59,210,70,0,2024-04-09
367,Gallegos,64,66,71,201,67,0,2024-04-01
368,Coggles,82,74,88,244,81,0,2024-04-05
369,McKinney,68,81,91,240,80,0,2024-04-02
370,Hartzog,69,57,62,188,62,0,2024-04-05
371,Heeran,95,92,94,281,93,0,2024-04-06
372,Shadfourth,87,61,51,199,66,0,2024-04-05
373,Bradock,62,55,82,199,66,0,2024-04-04
374,Orsi,72,80,97,249,83,0,2024-04-08
375,Garnsey,74,93,54,221,73,0,2024-04-07
376,Merrigans,62,51,79,192,64,0,2024-04-02
377,Kearney,88,84,72,244,81,0,2024-04-06
378,Tompion,55,87,80,222,74,0,2024-04-05
379,Trencher,56,94,60,210,70,0,2024-04-09
380,Goghin,78,84,53,215,71,0,2024-04-01
381,Lenglet,70,93,63,226,75,0,2024-04-01
382,Harmour,66,96,67,229,76,0,2024-04-05
383,Rackham,90,72,95,257,85,0,2024-04-07
384,Sirett,71,57,71,199,66,0,2024-04-01
385,Stockwell,73,81,96,250,83,0,2024-04-03
386,Bareford,88,64,97,249,83,0,2024-04-08
387,Welberry,68,83,57,208,69,0,2024-04-01
388,Izen,92,93,55,240,80,0,2024-04-01
389,Kleinhaus,100,95,95,290,96,0,2024-04-02
390,Wallen,93,60,64,217,72,0,2024-04-07
391,Bain,67,52,70,189,63,0,2024-04-07
392,Chilvers,83,94,69,246,82,0,2024-04-05
393,Zmitrichenko,53,63,61,177,59,0,2024-04-07
394,Behnke,97,97,59,253,84,0,2024-04-06
395,Wherrett,93,93,71,257,85,0,2024-04-01
396,St Pierre,69,82,84,235,78,0,2024-04-08
397,Kettell,65,99,91,255,85,0,2024-04-08
398,Nijs,87,72,81,240,80,0,2024-04-09
399,Sheilds,88,95,87,270,90,0,2024-04-04
400,Orehead,84,88,52,224,74,0,2024-04-09
401,Loynes,81,65,92,238,79,0,2024-04-01
402,Lerigo,80,80,90,250,83,0,2024-04-08
403,Smeal,94,71,94,259,86,0,2024-04-03
404,Ricioppo,52,91,76,219,73,0,2024-04-09
405,Hassard,80,78,77,235,78,0,2024-04-05
406,McClory,83,74,52,209,69,0,2024-04-04
407,Palke,98,50,66,214,71,0,2024-04-04
408,Ladbrook,58,100,50,208,69,0,2024-04-05
409,Gammie,96,71,52,219,73,0,2024-04-08
410,McKendry,54,52,56,162,54,0,2024-04-04
411,Pettingall,64,94,58,216,72,0,2024-04-06
412,Fooks,57,51,62,170,56,0,2024-04-09
413,Melsom,80,52,51,183,61,0,2024-04-04
414,Thurber,53,89,69,211,70,0,2024-04-05
415,Manners,93,53,52,198,66,0,2024-04-02
416,Piscot,50,77,58,185,61,0,2024-04-02
417,Paragreen,91,100,86,277,92,0,2024-04-08
418,Schollar,99,55,90,244,81,0,2024-04-08
419,Leve,77,90,93,260,86,0,2024-04-03
420,Brummell,53,98,95,246,82,0,2024-04-05
421,Andrusyak,53,67,98,218,72,0,2024-04-08
422,Quest,78,76,69,223,74,0,2024-04-01
423,Gillis,90,85,92,267,89,0,2024-04-04
424,Jelk,63,80,67,210,70,0,2024-04-01
425,Chevers,82,86,99,267,89,0,2024-04-01
426,Foxhall,85,59,77,221,73,0,2024-04-05
427,Hum,74,71,73,218,72,0,2024-04-03
428,Overill,59,100,62,221,73,0,2024-04-09
429,Kohter,98,87,68,253,84,0,2024-04-05
430,Bourthouloume,90,94,93,277,92,0,2024-04-05
431,Duligal,73,66,62,201,67,0,2024-04-04
432,Feechan,53,79,51,183,61,0,2024-04-05
433,Gartenfeld,59,65,67,191,63,0,2024-04-03
434,Willson,98,67,90,255,85,0,2024-04-04
435,Brunsdon,96,97,80,273,91,0,2024-04-04
436,Gooke,96,52,77,225,75,0,2024-04-07
437,Hariot,53,75,64,192,64,0,2024-04-04
438,Stokes,89,57,62,208,69,0,2024-04-04
439,Brambley,94,62,76,232,77,0,2024-04-03
440,Ensor,76,51,52,179,59,0,2024-04-03
441,Treweek,94,59,96,249,83,0,2024-04-09
442,Decaze,55,79,56,190,63,0,2024-04-05
443,Bezants,97,54,50,201,67,0,2024-04-02
444,Ivatts,64,84,74,222,74,0,2024-04-06
445,Mishaw,53,52,90,195,65,0,2024-04-07
446,Carslake,95,59,64,218,72,0,2024-04-09
447,Pritchard,82,97,90,269,89,0,2024-04-09
448,Pietzker,74,52,83,209,69,0,2024-04-09
449,Lodeke,92,68,57,217,72,0,2024-04-05
450,Robbe,95,93,66,254,84,0,2024-04-01
451,Prazor,92,51,87,230,76,0,2024-04-04
452,Abbes,63,62,66,191,63,0,2024-04-09
453,McMaster,64,77,60,201,67,0,2024-04-08
454,Burthom,63,73,50,186,62,0,2024-04-04
455,Pratty,64,79,56,199,66,0,2024-04-07
456,Cuerdale,56,75,77,208,69,0,2024-04-03
457,Collum,95,80,99,274,91,0,2024-04-05
458,Blindmann,84,91,56,231,77,0,2024-04-03
459,Halward,97,85,80,262,87,0,2024-04-07
460,Dollar,69,82,85,236,78,0,2024-04-06
461,Jeffs,74,52,91,217,72,0,2024-04-08
462,Danks,73,78,77,228,76,0,2024-04-07
463,Haton,50,98,100,248,82,0,2024-04-05
464,Roderick,58,67,65,190,63,0,2024-04-03
465,McAughtrie,61,92,94,247,82,0,2024-04-02
466,Skudder,79,80,52,211,70,0,2024-04-04
467,Nehlsen,85,98,81,264,88,0,2024-04-05
468,Eastes,55,93,87,235,78,0,2024-04-03
469,Broggio,67,97,82,246,82,0,2024-04-02
470,McCreery,96,80,68,244,81,0,2024-04-06
471,Neumann,59,86,68,213,71,0,2024-04-09
472,Romanini,86,52,88,226,75,0,2024-04-05
473,Cunniff,94,77,94,265,88,0,2024-04-09
474,Cicchetto,75,56,54,185,61,0,2024-04-02
475,Wright,64,60,94,218,72,0,2024-04-07
476,Parkman,72,73,67,212,70,0,2024-04-04
477,Cholerton,97,83,53,233,77,0,2024-04-01
478,Figge,89,75,91,255,85,0,2024-04-01
479,Pergens,70,66,87,223,74,0,2024-04-01
480,Rolfo,79,74,51,204,68,0,2024-04-07
481,Allender,52,73,74,199,66,0,2024-04-03
482,Kelcey,87,66,75,228,76,0,2024-04-06
483,Middlewick,50,66,84,200,66,0,2024-04-08
484,Benzies,51,50,93,194,64,0,2024-04-05
485,Getty,63,92,56,211,70,0,2024-04-09
486,Kunze,100,96,86,282,94,0,2024-04-03
487,Cluney,53,50,82,185,61,0,2024-04-02
488,Scawen,85,57,63,205,68,0,2024-04-05
489,Keddie,70,68,83,221,73,0,2024-04-02
490,Purcell,52,69,51,172,57,0,2024-04-02
491,MacCartan,74,73,73,220,73,0,2024-04-07
492,Lemme,69,70,79,218,72,0,2024-04-03
493,Gullam,51,51,62,164,54,0,2024-04-04
494,Jeppensen,91,77,72,240,80,0,2024-04-04
495,Ovington,79,59,85,223,74,0,2024-04-09
496,Di Franceshci,52,82,92,226,75,0,2024-04-08
497,Loughran,66,96,83,245,81,0,2024-04-02
498,Ewols,95,74,89,258,86,0,2024-04-07
499,Mostyn,60,83,67,210,70,0,2024-04-06
500,Eneas,73,61,85,219,73,0,2024-04-05
501,Roubeix,60,72,61,193,64,0,2024-04-06
502,Pascoe,59,78,94,231,77,0,2024-04-09
503,Stowell,95,78,94,267,89,0,2024-04-08
504,Salvatore,82,58,74,214,71,0,2024-04-08
505,Fones,64,69,58,191,63,0,2024-04-05
506,Deverale,68,96,84,248,82,0,2024-04-01
507,Sothern,57,93,57,207,69,0,2024-04-07
508,Brice,98,87,84,269,89,0,2024-04-07
509,Crackel,52,95,56,203,67,0,2024-04-04
510,Jedrachowicz,77,90,99,266,88,0,2024-04-08
511,Denson,80,82,90,252,84,0,2024-04-04
512,Pinckney,63,97,67,227,75,0,2024-04-06
513,Turbitt,76,78,82,236,78,0,2024-04-05
514,Andersch,98,77,53,228,76,0,2024-04-01
515,Pentelow,90,60,90,240,80,0,2024-04-04
516,Wetherhead,75,79,76,230,76,0,2024-04-02
517,Wincott,88,74,75,237,79,0,2024-04-03
518,Cockill,51,81,61,193,64,0,2024-04-04
519,Pretsel,67,89,56,212,70,0,2024-04-04
520,Tineman,55,83,57,195,65,0,2024-04-09
521,Duester,85,70,89,244,81,0,2024-04-05
522,Lead,86,88,69,243,81,0,2024-04-06
523,Stratiff,73,85,93,251,83,0,2024-04-07
524,Dorning,70,85,56,211,70,0,2024-04-04
525,Huntar,57,99,59,215,71,0,2024-04-05
526,McKeurtan,78,94,95,267,89,0,2024-04-08
527,Pirrie,100,52,64,216,72,0,2024-04-02
528,Wippermann,65,98,76,239,79,0,2024-04-04
529,Middas,69,51,70,190,63,0,2024-04-06
